08-18 22:19:54.835  11679-11679/com.jessicaxu.ReadJiffy.app E/Trace﹕ error opening trace file: No such file or directory (2)
08-18 22:19:55.085  11679-11679/com.jessicaxu.ReadJiffy.app W/dalvikvm﹕ Refusing to reopen boot DEX '/system/framework/hwframework.jar'
08-18 22:19:55.185  11679-11679/com.jessicaxu.ReadJiffy.app I/ActivityThread﹕ Pub com.jessicaxu.ReadJiffy.app.content.bookcp: com.jessicaxu.ReadJiffy.app.content.BookCP
08-18 22:19:55.195  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(BookContentProvider﹕ onCreate: Line 86)
08-18 22:19:55.195  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(BookContentProvider﹕ addBookUri: Line 288)
08-18 22:19:55.205  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(BookContentProvider﹕ addBookUri: Line 316)
08-18 22:19:55.265  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ Invalid int: ""
08-18 22:19:55.385  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(DatabaseHelper﹕ DatabaseHelper:onCreate: Line 72)
08-18 22:19:55.385  11679-11679/com.jessicaxu.ReadJiffy.app W/BookDbHelper﹕ CREATE TABLE if not exists Reading (_id integer PRIMARY KEY autoincrement,bookName,author,status,readPage,totalPage,seconds,percent,time, UNIQUE (bookName));
08-18 22:19:55.385  11679-11679/com.jessicaxu.ReadJiffy.app W/BookDbHelper﹕ CREATE TABLE if not exists Finished (_id integer PRIMARY KEY autoincrement,bookName,author,status,readPage,totalPage,seconds,percent,time, UNIQUE (bookName));
08-18 22:19:55.385  11679-11679/com.jessicaxu.ReadJiffy.app W/BookDbHelper﹕ CREATE TABLE if not exists Want (_id integer PRIMARY KEY autoincrement,bookName,author,status,readPage,totalPage,seconds,percent,time, UNIQUE (bookName));
08-18 22:19:55.395  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(DatabaseHelper﹕ DatabaseHelper:onCreate: Line 81)
08-18 22:19:55.445  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(BookContentProvider﹕ onCreate: Line 112)
08-18 22:19:55.555  11679-11683/com.jessicaxu.ReadJiffy.app E/dalvikvm﹕ GC_CONCURRENT freed 311K, 9% free 8229K/8967K, paused 12ms+1ms, total 28ms
08-18 22:19:55.565  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onCreate: Line 47)
08-18 22:19:55.565  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ setStrictMode: Line 250)
08-18 22:19:55.565  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ setStrictMode: Line 265)
08-18 22:19:55.645  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onAttach: Line 227)
08-18 22:19:55.645  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onAttach: Line 234)
08-18 22:19:55.645  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onCreate: Line 72)
08-18 22:19:55.655  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ selectItem: Line 211)
08-18 22:19:55.655  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onNavigationDrawerItemSelected: Line 146)
08-18 22:19:55.655  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ newInstance): Line 67)
08-18 22:19:55.655  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ ContentFragment: Line 79)
