07-26 17:56:19.739    5108-5108/com.jessicaxu.ReadJiffy.app W/dalvikvm﹕ Refusing to reopen boot DEX '/system/framework/hwframework.jar'
07-26 17:56:19.779    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onCreate: Line 54)
07-26 17:56:19.779    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ setStrictMode: Line 233)
07-26 17:56:19.779    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ setStrictMode: Line 248)
07-26 17:56:19.839    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onAttach: Line 230)
07-26 17:56:19.859    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onAttach: Line 237)
07-26 17:56:19.859    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onCreate: Line 75)
07-26 17:56:19.869    5108-5111/com.jessicaxu.ReadJiffy.app E/dalvikvm﹕ GC_CONCURRENT freed 259K, 8% free 8313K/8967K, paused 12ms+2ms, total 32ms
07-26 17:56:19.879    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ selectItem: Line 214)
07-26 17:56:19.879    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onNavigationDrawerItemSelected: Line 89)
07-26 17:56:19.889    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ :newInstance)
07-26 17:56:19.889    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ ContentFragment: Line 81)
07-26 17:56:19.899    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ ContentFragment: Line 82)
07-26 17:56:19.899    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ :newInstance)
